Unidade,Sheet_Original,Descricao,Budget_2025,Actual_2025,Percentual_Diferenca,Status,Tipo
CHILE,BUDGET CHILE 2025,COMISSIONS,0.072,0.0,-100.0,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,FH,0.10805210314643478,0.05735993421510077,-46.91456015681136,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,GENERAL AND ADMINISTRATION EXPENSES,0.07,0.03951237154601469,-43.55375493426473,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,GROSS PROFIT,0.0,0.0,0.0,Acima do Budget,Item
CHILE,BUDGET CHILE 2025,GROSS PROFIT w/ rebates & incentives,0.0,0.0,0.0,Acima do Budget,Item
CHILE,BUDGET CHILE 2025,MARKETING EXPENSES,0.6259234275000001,0.06138988878172584,-90.19210879724969,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,OH,0.12518468550000003,0.0031148218207747206,-97.51181879130517,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,REBATES,8.941763250000001,1.553687778781726,-82.62436909429775,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,REBATES ANUAL,0.2682528975,0.02772954,-89.66291128318568,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,REVENUES,8.941763250000001,3.5391666666666666,-60.41981242718917,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,SALES EXPENSES,0.008052103146434791,0.0,-100.0,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,SALES INCENTIVE,0.029999999999999995,0.017847562669086076,-40.50812443637974,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,SG&A,0.966176325,0.08911942878172585,-90.77606990817894,Abaixo do Budget,Item
CHILE,BUDGET CHILE 2025,TOTAL OPERATIONAL EBITDA,0.043120836720726245,0.08616219803525066,99.81569140989411,Acima do Budget,Item
DC,BUDGET DC 2025,COMISSIONS,0.07000000000000002,0.010254728950403691,-85.35038721370903,Abaixo do Budget,Item
DC,BUDGET DC 2025,FH,0.0002,0.0,-100.0,Abaixo do Budget,Item
DC,BUDGET DC 2025,GENERAL AND ADMINISTRATION EXPENSES,0.0,0.0,0.0,Acima do Budget,Item
DC,BUDGET DC 2025,GROSS PROFIT,1.0,0.09661745,-90.338255,Abaixo do Budget,Item
DC,BUDGET DC 2025,GROSS PROFIT w/ rebates & incentives,1.2999999999999998,0.15855819999999998,-87.8032153846154,Abaixo do Budget,Item
DC,BUDGET DC 2025,MARKETING EXPENSES,0.165303985257701,0.007410636937215441,-95.51696413993733,Abaixo do Budget,Item
DC,BUDGET DC 2025,OH,0.14402541416763545,0.05397971990288409,-62.5206980206594,Abaixo do Budget,Item
DC,BUDGET DC 2025,ORDERS RECEIVED,5.0,3.5391666666666666,-29.21666666666667,Abaixo do Budget,Item
DC,BUDGET DC 2025,REBATES,0.14999999999999997,0.03908750999999999,-73.94166,Abaixo do Budget,Item
DC,BUDGET DC 2025,REBATES ANUAL,0.0,0.0,0.0,Acima do Budget,Item
DC,BUDGET DC 2025,REVENUES,5.0,0.6412057099999999,-87.1758858,Abaixo do Budget,Item
DC,BUDGET DC 2025,SALES EXPENSES,0.059214858632797664,0.02925902768501816,-50.58836859434416,Abaixo do Budget,Item
DC,BUDGET DC 2025,SALES INCENTIVE,0.14999999999999997,0.02285324,-84.76450666666666,Abaixo do Budget,Item
DC,BUDGET DC 2025,SG&A,0.38670376331717815,0.13711105790089537,-64.5436453152809,Abaixo do Budget,Item
DC,BUDGET DC 2025,SG&A w/funded head,0.38690376331717813,0.13711105790089537,-64.56197357054559,Abaixo do Budget,Item
DC,BUDGET DC 2025,TOTAL OPERATIONAL EBITDA,0.47455197862468756,-0.07945697137641677,-116.74357603706409,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,COMISSIONS,0.191115,0.04240243430276817,-77.81313120227708,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,FH,0.30499999999999994,0.025416666666666667,-91.66666666666667,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,GENERAL AND ADMINISTRATION EXPENSES,0.0,0.0,0.0,Acima do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,GROSS PROFIT,1.6720224,1.1686563762000002,-30.10522010949134,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,GROSS PROFIT w/ rebates & incentives,13.300783503759998,2.6079828962,-80.3922611366259,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,MARKETING EXPENSES,0.8193120507789124,0.14628508072977012,-82.14537664975168,Abaixo do Budget,Item
